OBJECTID,ELEVATION,HYDRANTID,FFW,LAT,LON
2036.00000,407.62899,DNBR 2408,1958.00000,35.4340213,-79.1622647
2037.00000,405.26095,STAC 1810,1972.00000,35.4258976,-79.1552695
2038.00000,394.92988,PH1-37,2083.00000,35.4212242,-79.1514061
2039.00000,380.14380,PH1-35,2160.00000,35.4120408,-79.1486798
2040.00000,357.01933,PH1-34,2299.00000,35.4056193,-79.1474247
2041.00000,291.56901,PH1-33,2542.00000,35.3998471,-79.1432549
2042.00000,345.54490,KNTF 181,2229.00000,35.3919642,-79.1471512
2043.00000,348.34260,PH1-31,2319.00000,35.3879561,-79.1467793
2044.00000,343.42971,PH1-30,2285.00000,35.3830025,-79.1491992
2045.00000,383.17915,SWNS 5485,2069.00000,35.3780605,-79.1519713
2046.00000,364.72902,PH1-8,2194.00000,35.3799517,-79.1628659
2047.00000,373.48233,PH1-27,2083.00000,35.3796488,-79.1587225
2048.00000,394.59756,GRWD 21,2014.00000,35.3805406,-79.1762915
2049.00000,423.83946,PH1-142,1750.00000,35.3587128,-79.2250092
2050.00000,412.22527,RFCR 3585,1868.00000,35.3634084,-79.2209540
2051.00000,475.04917,RFCR 3199,1375.00000,35.3676527,-79.2166446
2052.00000,427.51476,PH1-139,1708.00000,35.3715035,-79.2122881
2053.00000,408.77898,RFCR 2431,1896.00000,35.3764278,-79.2090486
2054.00000,377.27996,PH1-137,2097.00000,35.3820767,-79.2096571
2055.00000,378.97168,GRWD 1150,2104.00000,35.3890565,-79.1930495
2056.00000,402.32885,EDWS 805,1944.00000,35.3852735,-79.1763510
2057.00000,391.61558,KNTF 1704,2062.00000,35.3895193,-79.1702404
2058.00000,408.46035,KNTF 1528,2069.00000,35.3877508,-79.1665164
2059.00000,402.37170,KNTF 900,2035.00000,35.3862592,-79.1600056
2060.00000,370.60756,KNTF 604,2132.00000,35.3902979,-79.1537854
2061.00000,339.59892,HLDR 426,2271.00000,35.3930800,-79.1565158
2062.00000,385.00939,SFWN 1554,2069.00000,35.3978076,-79.1625374
2063.00000,387.40722,PH1-54,2042.00000,35.3941585,-79.1644758
2064.00000,406.35439,PH1-55,1924.00000,35.3888842,-79.1640347
2065.00000,397.61784,PH1-56,1993.00000,35.3837214,-79.1631685
2066.00000,367.02715,PH1-52,2243.00000,35.4027531,-79.1629885
2067.00000,383.19452,EDWS 619,2049.00000,35.3918163,-79.1768344
2068.00000,357.34927,EDWS 453,2236.00000,35.3962869,-79.1767652
2069.00000,383.62280,EDWD 308,2111.00000,35.4005532,-79.1760551
2070.00000,372.38392,EDWS 29,2146.00000,35.4075380,-79.1762151
2071.00000,413.68801,NT,1812.00000,35.3861879,-79.2194490
2072.00000,439.05503,PH1-135,1938.00000,35.3880301,-79.2265909
2073.00000,337.56905,HWKN 1676,1917.00000,35.5436189,-79.1899243
2074.00000,314.55737,HWKN 1709,2042.00000,35.5469192,-79.1906792
2075.00000,291.10461,HWKN 2302,2201.00000,35.5499459,-79.1906895
2076.00000,293.99402,HWKN 2649,2132.00000,35.5543672,-79.1913933
2077.00000,310.63982,HWKN 3018,2035.00000,35.5578827,-79.1915463
2078.00000,300.08885,HWKN 3451,2125.00000,35.5635731,-79.1918912
2079.00000,307.14540,HWKN 4101,2132.00000,35.5691353,-79.1921504
2080.00000,305.27694,HWKN 4501,1938.00000,35.5709435,-79.1923747
2081.00000,264.55684,HWKN 4619,2340.00000,35.5735295,-79.1927423
2082.00000,230.72075,NT,2542.00000,35.5761204,-79.1932551
2083.00000,302.26675,ELBN 6001,2097.00000,35.5564973,-79.1853263
2084.00000,299.85971,ELBN 59155,2132.00000,35.5547351,-79.1840213
2085.00000,297.94552,ELBN 5910,2132.00000,35.5547958,-79.1837635
2086.00000,293.86403,ELBN 5901,2160.00000,35.5541732,-79.1836712
2087.00000,291.73876,ELBN 5900,2160.00000,35.5535013,-79.1834578
2088.00000,280.75857,ELBN 5811,2236.00000,35.5519945,-79.1828445
2089.00000,283.35257,ELBN 5800,2215.00000,35.5511467,-79.1818057
2090.00000,291.05663,CYDR 5806,2167.00000,35.5525643,-79.1801162
2091.00000,307.02043,RXMD 5100,2076.00000,35.5490371,-79.1791770
2092.00000,305.29009,RXMD 5198,2083.00000,35.5492170,-79.1792122
2093.00000,288.72572,RXMD 5162,2167.00000,35.5505708,-79.1793089
2094.00000,289.64972,RXMD 5132,2181.00000,35.5516323,-79.1794366
2095.00000,289.27362,RXMD 5123,2167.00000,35.5520224,-79.1794077
2096.00000,289.17475,CYDR 5834,2174.00000,35.5536657,-79.1785793
2097.00000,289.60800,CYDR 5905,3444.00000,35.5540819,-79.1765202
2098.00000,306.20174,WMCK 4951,2083.00000,35.5491255,-79.1742915
2099.00000,310.69909,WMCK4871,2042.00000,35.5483233,-79.1732427
2100.00000,316.90235,OKPK 5008,2014.00000,35.5473516,-79.1721813
2101.00000,319.68798,OKPK 4376,1986.00000,35.5466900,-79.1732038
2102.00000,307.83157,OKPK 4377,2111.00000,35.5455279,-79.1744558
2103.00000,296.96913,OKPK 4412,2125.00000,35.5443720,-79.1757234
2104.00000,281.14763,CYDR 5910,2139.00000,35.5538540,-79.1755753
2105.00000,280.89229,WMCK 5254,3444.00000,35.5532303,-79.1763498
2106.00000,317.48849,WMCK 5403,2056.00000,35.5560346,-79.1772407
2107.00000,337.86227,WMCK 5509,1875.00000,35.5579234,-79.1779015
2108.00000,304.85156,NLKS 5311,2090.00000,35.5556773,-79.1786777
2109.00000,333.54430,NLKS 5437,1917.00000,35.5573673,-79.1790553
2110.00000,318.61462,NT,2014.00000,35.5561311,-79.1834954
2111.00000,358.71988,CLSR 96,1750.00000,35.5651297,-79.1672977
2112.00000,342.32095,CLSR 166,1847.00000,35.5643496,-79.1661555
2113.00000,347.48215,CLSR 268,1819.00000,35.5635848,-79.1653211
2114.00000,344.01642,CLSR 352,1861.00000,35.5627426,-79.1639728
2115.00000,340.44228,CLSR 424,1903.00000,35.5616106,-79.1629936
2116.00000,337.82469,CLON 4705,1882.00000,35.5664477,-79.1618618
2117.00000,333.06421,CLON 4583,1889.00000,35.5656073,-79.1593658
2118.00000,285.56287,CLON 4385,2208.00000,35.5636373,-79.1565568
2119.00000,370.61540,CLON 4928,1653.00000,35.5671295,-79.1654339
2120.00000,332.61377,DPRD 2398,1951.00000,35.5741065,-79.1617174
2121.00000,324.08511,DPRD 2480,1944.00000,35.5758376,-79.1605050
2122.00000,357.65310,DPRD 2880,1771.00000,35.5802792,-79.1571846
2123.00000,287.91854,FRRL 3479,2201.00000,35.5851152,-79.1202326
2124.00000,266.23021,PNRS 426,2312.00000,35.5823199,-79.1236917
2125.00000,269.92936,PNRS 460,2285.00000,35.5812914,-79.1236873
2126.00000,262.12598,PNRS 498,2340.00000,35.5803052,-79.1242519
2127.00000,283.39405,NT,2236.00000,35.5828314,-79.1195087
2128.00000,270.03039,NT,2319.00000,35.5805113,-79.1135523
2129.00000,250.21103,NT,2410.00000,35.5781123,-79.1068891
2130.00000,250.50828,FRRL 1077,2479.00000,35.5486216,-79.1265730
2131.00000,313.06238,FRRL 1399,2104.00000,35.5528579,-79.1288334
2132.00000,316.96437,FRRL 1457,2083.00000,35.5532651,-79.1290187
2133.00000,310.92442,FRRL 1620,2139.00000,35.5541978,-79.1284399
2134.00000,301.73326,FRRL 1708,2181.00000,35.5561026,-79.1271755
2135.00000,305.45390,56-11,2153.00000,35.5572267,-79.1264373
2136.00000,298.80520,FRRL 1818,2243.00000,35.5590695,-79.1251208
2137.00000,295.47105,FRRL 2018,2451.00000,35.5607845,-79.1234201
2138.00000,262.81818,FRRL 2172,2562.00000,35.5629342,-79.1234894
2139.00000,221.82928,CLON 3877,2535.00000,35.5585447,-79.1513059
2140.00000,281.90180,CLON 3739,2236.00000,35.5547700,-79.1512978
2141.00000,278.51889,CLON 3625,2188.00000,35.5528766,-79.1514170
2142.00000,294.61392,CLON 3379,2181.00000,35.5501021,-79.1519493
2143.00000,287.57205,FRRL 1252,2236.00000,35.5507241,-79.1284127
2144.00000,234.40705,FRRL 888,2535.00000,35.5454612,-79.1250976
2145.00000,237.06394,FRRL 690,2514.00000,35.5430726,-79.1223460
2146.00000,239.69745,FRRL 368,2438.00000,35.5413191,-79.1185149
2147.00000,280.89182,FRRL 154,2438.00000,35.5398945,-79.1164422
2148.00000,304.47018,FRRL 51,2167.00000,35.5380056,-79.1161438
2149.00000,303.42820,LWRM 2842,2174.00000,35.5359706,-79.1165993
