DEMAND,HEAD,PRESSURE,LAT,LON
0.000,610.61,85.54,35.4552582,-79.2139876
0.002,610.61,79.11,35.4547919,-79.2142885
0.002,610.70,86.83,35.4554024,-79.2141789
0.000,610.71,86.63,35.4553765,-79.2140948
0.000,610.70,86.01,35.4552707,-79.2142395
0.000,610.77,93.00,35.4551208,-79.2107896
0.000,610.77,93.25,35.4552293,-79.2107040
0.000,610.77,105.98,35.4585098,-79.2079109
0.000,610.77,103.12,35.4589531,-79.2087727
0.000,610.77,102.53,35.4589842,-79.2088332
0.000,610.77,102.00,35.4590102,-79.2088836
0.000,610.77,103.03,35.4588883,-79.2088300
0.000,610.77,103.14,35.4587469,-79.2087542
0.000,610.77,102.23,35.4597327,-79.2066764
0.000,610.77,103.42,35.4595952,-79.2065899
0.004,610.77,106.07,35.4599644,-79.2041424
0.000,610.77,106.84,35.4598115,-79.2041627
0.000,511.12,67.63,35.4624746,-79.2147111
0.000,511.12,68.14,35.4624073,-79.2146534
0.000,511.12,67.16,35.4620657,-79.2132906
0.000,511.12,67.13,35.4620632,-79.2132133
0.000,511.12,62.97,35.4619397,-79.2126374
0.000,511.12,62.51,35.4619128,-79.2125975
0.001,511.12,62.83,35.4619576,-79.2125128
0.003,511.12,70.41,35.4626771,-79.2119816
0.000,511.12,67.79,35.4621459,-79.2132854
0.002,511.12,72.54,35.4627870,-79.2130417
0.002,511.12,65.99,35.4622441,-79.2145014
0.000,511.12,68.05,35.4623376,-79.2143536
0.001,511.12,67.18,35.4620680,-79.2133561
0.000,511.12,68.55,35.4622139,-79.2133601
0.000,511.12,61.44,35.4617268,-79.2124823
0.000,511.12,60.31,35.4614166,-79.2124549
0.001,511.12,61.92,35.4617331,-79.2123024
0.000,511.17,78.31,35.4638337,-79.2137372
0.000,511.17,75.81,35.4643601,-79.2145496
0.000,511.17,74.38,35.4645350,-79.2146717
0.001,511.18,77.28,35.4640640,-79.2136863
0.001,511.20,80.70,35.4639773,-79.2121646
0.001,511.22,63.10,35.4670827,-79.2119683
0.001,511.21,64.83,35.4662249,-79.2100473
0.000,511.17,78.60,35.4638342,-79.2138084
0.000,511.18,77.28,35.4639842,-79.2137300
0.000,511.20,80.43,35.4640452,-79.2121605
0.000,511.20,79.98,35.4640518,-79.2123457
0.003,511.20,80.27,35.4641049,-79.2121568
0.001,511.20,81.19,35.4639681,-79.2119270
0.001,511.21,82.49,35.4639145,-79.2104864
0.000,511.21,82.49,35.4639691,-79.2104826
0.001,511.21,82.49,35.4639091,-79.2103773
0.001,511.21,82.49,35.4640503,-79.2104769
0.001,511.21,82.49,35.4640403,-79.2103042
0.001,511.21,82.04,35.4637987,-79.2091009
0.000,511.21,82.12,35.4637580,-79.2089371
0.000,511.21,83.03,35.4636573,-79.2091542
0.000,511.21,82.75,35.4637089,-79.2091348
0.001,511.21,82.93,35.4636848,-79.2092547
0.000,511.21,83.34,35.4636363,-79.2090773
0.000,511.21,84.40,35.4634586,-79.2077574
0.001,511.21,84.18,35.4635015,-79.2077415
0.000,511.21,83.24,35.4635423,-79.2079051
0.003,511.21,81.63,35.4644930,-79.2073818
0.001,511.21,81.63,35.4645340,-79.2075518
0.002,511.22,77.69,35.4655591,-79.2069865
0.000,511.22,76.15,35.4655988,-79.2071554
0.002,511.21,78.00,35.4650526,-79.2087611
0.003,511.22,73.23,35.4661270,-79.2082671
0.000,511.22,73.83,35.4660634,-79.2081059
0.000,511.21,77.36,35.4650491,-79.2085861
0.002,511.23,70.63,35.4671690,-79.2078515
0.001,511.23,70.45,35.4672258,-79.2078322
