OBJECTID,ELEVATION,TRAVEL,LON,LAT
62.00000,346.01740,67.25000,-79.2070959,35.4915529
63.00000,291.42161,62.45000,-79.2087385,35.4894830
64.00000,366.50478,62.53000,-79.2154780,35.4883909
65.00000,355.31643,58.79000,-79.2166295,35.4876401
66.00000,355.39775,58.27000,-79.2156430,35.4872443
67.00000,346.94428,58.00000,-79.2144828,35.4870866
68.00000,305.75867,58.57000,-79.2041876,35.4899519
69.00000,344.27051,64.40000,-79.2058047,35.4909114
70.00000,345.65447,27.20000,-79.2092338,35.4934242
71.00000,343.80434,28.49000,-79.2099979,35.4946440
72.00000,333.09138,23.53000,-79.2101481,35.4993137
73.00000,343.92553,28.07000,-79.2100840,35.4970697
74.00000,304.09913,28.07000,-79.2060148,35.4974032
75.00000,331.52054,28.07000,-79.2076726,35.4972360
76.00000,336.64471,28.07000,-79.2086567,35.4971221
77.00000,333.32499,31.33000,-79.2105185,35.5018338
78.00000,320.65091,31.54000,-79.2099043,35.5034509
79.00000,319.34722,29.95000,-79.2117666,35.5038328
80.00000,300.14117,29.95000,-79.2132632,35.5040199
81.00000,283.47502,23.29000,-79.2140578,35.5028267
82.00000,320.57448,29.95000,-79.2125715,35.5028522
83.00000,323.96099,31.51000,-79.2111237,35.5029783
84.00000,294.77481,29.95000,-79.2125911,35.5018250
85.00000,296.85486,23.32000,-79.2155036,35.5017138
86.00000,282.98668,24.36000,-79.2194781,35.5019571
87.00000,309.01910,28.00000,-79.2213606,35.5026985
88.00000,373.11846,28.33000,-79.2272875,35.5044237
89.00000,317.93790,33.77000,-79.2246264,35.5008610
90.00000,337.66771,28.65000,-79.2262351,35.5011235
91.00000,371.22592,26.96000,-79.2281642,35.5016818
92.00000,313.90957,28.32000,-79.2224117,35.5010700
93.00000,351.81088,28.31000,-79.2239765,35.4999261
94.00000,327.54992,28.37000,-79.2230333,35.4991177
95.00000,326.98977,62.30000,-79.2065144,35.4936748
96.00000,274.87986,34.47000,-79.2069948,35.4957840
97.00000,313.51342,55.20000,-79.2117784,35.4961538
98.00000,296.81259,52.06000,-79.2123947,35.4995268
99.00000,338.97940,23.53000,-79.2083720,35.4993481
100.00000,327.74407,23.54000,-79.2157491,35.5001768
101.00000,312.62491,24.13000,-79.2156052,35.4989398
102.00000,325.09870,27.99000,-79.2166081,35.4965429
103.00000,336.52875,28.32000,-79.2185162,35.4962305
104.00000,370.31829,28.38000,-79.2193295,35.4980954
105.00000,349.35589,28.38000,-79.2187775,35.4971171
106.00000,342.32403,30.82000,-79.2226027,35.4972857
107.00000,367.45464,33.81000,-79.2244268,35.4986313
108.00000,369.70461,28.60000,-79.2273235,35.4988141
109.00000,377.00855,29.75000,-79.2262453,35.4982442
110.00000,359.28098,33.83000,-79.2255025,35.4997698
111.00000,349.70607,29.72000,-79.2252034,35.4975855
112.00000,351.12316,26.48000,-79.2252254,35.4965516
113.00000,350.90874,26.99000,-79.2257472,35.4951695
114.00000,371.11235,26.80000,-79.2286519,35.4960969
115.00000,370.50585,26.80000,-79.2304031,35.4960483
116.00000,355.82247,26.80000,-79.2316695,35.4958201
117.00000,355.42781,36.24000,-79.2333624,35.4954923
118.00000,363.89532,36.24000,-79.2349739,35.4956849
119.00000,350.63515,36.24000,-79.2365458,35.4956043
120.00000,354.63166,36.58000,-79.2378490,35.4960562
121.00000,337.49781,36.58000,-79.2388696,35.4964434
122.00000,368.50909,34.87000,-79.2257822,35.4930076
123.00000,349.39453,27.32000,-79.2245215,35.4941412
124.00000,353.99636,26.72000,-79.2232763,35.4956772
125.00000,360.21547,65.45000,-79.2263595,35.4916761
126.00000,354.15496,65.96000,-79.2258083,35.4906777
127.00000,356.07423,61.53000,-79.2244916,35.4911590
128.00000,322.58604,58.50000,-79.2143374,35.4925373
129.00000,323.91461,57.08000,-79.2148676,35.4913407
130.00000,333.87415,57.41000,-79.2171284,35.4919956
131.00000,299.02613,57.41000,-79.2159136,35.4937953
132.00000,312.65805,54.01000,-79.2151570,35.4950258
133.00000,324.62089,55.20000,-79.2136787,35.4959729
134.00000,356.84372,46.79000,-79.2109159,35.4929243
135.00000,327.80028,60.82000,-79.2182352,35.4939421
136.00000,337.69169,59.77000,-79.2197710,35.4935904
137.00000,392.11476,57.65000,-79.2226842,35.4925253
138.00000,366.64657,70.32000,-79.2224820,35.4900948
139.00000,358.57158,56.00000,-79.2214449,35.4920333
140.00000,370.28082,66.72000,-79.2216318,35.4874100
141.00000,375.94622,66.72000,-79.2219168,35.4882980
142.00000,377.12707,62.23000,-79.2202022,35.4890227
143.00000,336.44605,61.23000,-79.2134855,35.4861811
144.00000,349.13648,58.29000,-79.2148765,35.4854210
145.00000,375.57934,60.90000,-79.2172138,35.4886038
146.00000,356.08202,59.08000,-79.2179169,35.4871811
147.00000,372.17401,59.43000,-79.2190128,35.4868045
148.00000,375.26210,62.49000,-79.2188220,35.4881293
149.00000,349.42777,62.33000,-79.2197020,35.4905882
150.00000,385.55392,89.80000,-79.2206142,35.4860881
151.00000,388.44185,58.40000,-79.2212375,35.4855617
152.00000,385.55486,70.20000,-79.2187373,35.4846992
153.00000,363.37684,70.20000,-79.2172457,35.4852101
154.00000,382.64220,56.04000,-79.2179413,35.4831295
155.00000,368.77367,56.04000,-79.2168808,35.4828560
156.00000,375.51483,56.04000,-79.2167437,35.4837776
157.00000,358.20812,58.29000,-79.2161880,35.4849384
158.00000,380.47234,54.26000,-79.2185156,35.4825042
159.00000,391.28766,45.22000,-79.2200443,35.4822932
160.00000,394.38399,49.78000,-79.2204539,35.4835213
161.00000,385.45123,59.59000,-79.2224279,35.4862132
162.00000,369.03676,54.79000,-79.2227792,35.4853742
163.00000,381.04735,60.94000,-79.2234740,35.4869569
164.00000,380.08356,62.73000,-79.2258363,35.4882337
165.00000,383.59908,61.75000,-79.2267783,35.4889768
